job_id,role,link,company,company_rating,reviews,exp_req,salary,locations,job_posted,domains
150523500079,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500079,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['python', 'c++', 'embedded systems', 'software engineering', 'automotive', 'software', 'software testing', 'sr']"
150523500074,Linux Admin,https://www.naukri.com/job-listings-linux-admin-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-5-years-150523500074,Essenware Private Limted,NA,NA,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['linux administration', 'corporate training', 'tds', 'linux', 'administration', 'training', 'corporate', 'Linux Administrator']"
150523500069,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500069,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['software', 'test cases', 'business rules', 'rules', 'sr', 'software testing', 'case', 'software engineering']"
150523500065,Team Lead,https://www.naukri.com/job-listings-team-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-11-years-150523500065,Essenware Private Limted,NA,NA,6-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['electrical engineering', 'engineering', 'team leading', 'turbine', 'team', 'electricals']"
150523500063,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500063,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['microsoft windows', 'leadership development', 'technical analysis', 'development', 'technical leadership', 'technical', 'Development Lead', 'Technical Lead']"
150523500062,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-150523500062,Essenware Private Limted,NA,NA,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['sr', 'automotive', 'software testing', 'software engineering', 'software', 'Software Engineer 3', 'Testing']"
150523500060,Automation Tester,https://www.naukri.com/job-listings-automation-tester-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500060,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['automation testing', 'automation', 'software testing', 'selenium']"
150523500059,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500059,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['sr', 'software engineering', 'plm', 'software', 'cad']"
150523500057,Team Lead,https://www.naukri.com/job-listings-team-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500057,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['linux', 'deployment', 'shell scripting', 'paas', 'continuous integration', 'team', 'virtualization', 'gcp']"
150523500056,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500056,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['technical', 'technical leadership', 'technical analysis', 'javascript', 'design', 'development', 'jquery', 'microsoft']"
150523500053,Sr. Security Analyst,https://www.naukri.com/job-listings-sr-security-analyst-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500053,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['system administration', 'administration', 'linux', 'unix', 'security analysis', 'scripting', 'sr', 'system']"
